text,answer1,answer2,answer3,answer4,correct_answer
What is the smallest planet in our solar system?,Mercury,Venus,Mars,Jupiter,Mercury
What is the largest mammal on Earth?,Blue Whale,Elephant,Giraffe,Hippopotamus,Blue Whale
What is the currency of India?,Rupee,Dollar,Euro,Pound,Rupee
What is the name of the highest waterfall in the world?,Angel Falls,Niagara Falls,Iguazu Falls,Victoria Falls,Angel Falls
What is the capital of Japan?,Tokyo,Osaka,Kyoto,Yokohama,Tokyo
What is the largest country in the world by land area?,Russia,Canada,China,United States,Russia
What is the largest ocean in the world?,Pacific,Atlantic,Indian,Arctic,Pacific
What is the tallest mammal in the world?,Giraffe,Elephant,Hippopotamus,Rhino,Giraffe
What is the highest mountain in Africa?,Kilimanjaro,Mount Kenya,Mount Meru,Mount Elgon,Kilimanjaro
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,Madrid
What is the largest continent by land area?,Asia,Africa,North America,South America,Asia
What is the smallest country in the world?,Vatican City,Monaco,Nauru,Tuvalu,Vatican City
What is the capital of Turkey?,Ankara,Istanbul,Izmir,Bursa,Ankara
What is the currency of Japan?,Yen,Euro,Dollar,Pound,Yen
What is the highest mountain in Europe?,Mount Elbrus,Mont Blanc,Matterhorn,Mount Olympus,Mount Elbrus
What is the capital of Brazil?,Brasília,São Paulo,Rio de Janeiro,Belo Horizonte,Brasília
What is the largest country in South America?,Brazil,Argentina,Peru,Colombia,Brazil
What is the currency of Russia?,Ruble,Euro,Dollar,Pound,Ruble
What is the smallest state in the United States?,Rhode Island,Delaware,Connecticut,New Hampshire,Rhode Island
What is the capital of Italy?,Rome,Milan,Venice,Florence,Rome
What is the highest mountain in North America?,Denali,Mount Logan,Pico de Orizaba,Mount Saint Elias,Denali
What is the currency of Mexico?,Peso,Dollar,Euro,Pound,Peso
What is the largest desert in the world?,Sahara,Gobi,Arabian,Kalahari,Sahara
What is the capital of France?,Paris,Marseille,Lyon,Toulouse,Paris
What is the largest island in the world?,Greenland,New Guinea,Borneo,Madagascar,Greenland
What is the largest river in the world by volume?,Amazon,Nile,Yangtze,Mississippi,Amazon
What is the highest mountain in South America?,Aconcagua,Ojos del Salado,Mercedario,Llullaillaco,Aconcagua
What is the currency of China?,Yuan,Euro,Dollar,Pound,Yuan
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Ottawa
What is the largest country in Africa by land area?,Algeria,Democratic Republic of the Congo,Sudan,Libya,Algeria
What is the longest river in Europe?,Volga,Don,Danube,Ural,Volga
What is the largest country in the world by population?,China,India,United States,Brazil,China
What is the capital of South Korea?,Seoul,Busan,Incheon,Daegu,Seoul
What is the currency of Australia?,Australian Dollar,US Dollar,Euro,Japanese Yen,Australian Dollar
What is the name of the currency used in Switzerland?,Swiss Franc,Euro,British Pound,US Dollar,Swiss Franc
What is the highest mountain in Asia?,Mount Everest,K2,Kangchenjunga,Lhotse,Mount Everest
What is the capital of Egypt?,Cairo,Alexandria,Luxor,Aswan,Cairo
What is the currency of South Korea?,South Korean won,US Dollar,Euro,Japanese Yen,South Korean won
What is the name of the longest river in South America?,Amazon River,Parana River,Ucayali River,Sao Francisco River,Amazon River
What is the capital of Thailand?,Bangkok,Chiang Mai,Phuket,Pattaya,Bangkok
What is the name of the currency used in Brazil?,Brazilian Real,US Dollar,Euro,British Pound,Brazilian Real
What is the smallest continent in the world?,Australia,Europe,Antarctica,South America,Antarctica
What is the capital of Mexico?,Mexico City,Guadalajara,Monterrey,Tijuana,Mexico City
What is the highest mountain in Australia?,Mount Kosciuszko,Mt. Wilhelm,Mount Giluwe,Puncak Jaya,Mount Kosciuszko
What is the name of the currency used in Indonesia?,Indonesian Rupiah,US Dollar,Euro,British Pound,Indonesian Rupiah
What is the highest waterfall in the United States?,Yosemite Falls,Ribbon Falls,Yellowstone Falls,Vernal Fall,Yosemite Falls
What is the capital of Saudi Arabia?,Riyadh,Jeddah,Mecca,Dammam,Riyadh
What is the currency of Canada?,Canadian Dollar,US Dollar,Euro,Japanese Yen,Canadian Dollar
What is the name of the currency used in the United Arab Emirates?,UAE Dirham,US Dollar,Euro,British Pound,UAE Dirham
